,PC_0
182,-11.552169286611996
183,-11.533821386867515
184,-11.526571229966239
186,-11.521434400110682
187,-28.02692715938447
188,-11.542956086603564
189,-11.548656231653522
190,-11.453906441335697
191,-11.564163757898353
192,-11.550476023611166
193,-11.518784455131106
194,-34.56868408314592
195,-31.04602945237078
196,-11.498794743685245
197,-11.522979155019978
198,23.141259130446397
199,-11.469805367721111
200,-11.552930772009484
201,-11.220089380957965
202,-11.503357536950789
203,-11.398091521681655
204,-11.216777485801046
205,-11.532238413654639
206,-11.527318497207512
208,-11.530359510000379
209,-11.489426064847672
211,-11.562946016638238
212,-41.702669092679805
213,-11.504190221808342
214,-11.49988206238938
215,-11.534867097298246
216,-11.513135207676534
217,-11.542899985010829
218,-11.51960486414755
219,-11.526281434611782
220,-14.378900781890895
221,-11.530936995582495
222,-11.53940916518418
223,-11.475659033817896
224,-11.488977378533905
225,-11.47976487520598
226,-24.512122244884978
227,9.72193127921648
228,-11.375351493308676
229,-11.540995794548206
231,-11.487132931899433
232,-19.641329056185963
234,-11.532265753871249
235,-11.552544171308194
236,-11.451805424906903
237,-11.516353606103054
238,-11.544333062548185
239,-11.526965177649513
240,-11.468490107117887
241,-22.13420252340214
242,-11.524503737187
243,-11.542972928298553
245,-11.566643482973175
246,-11.548347216902323
247,7.518700289244518
248,-15.039453197849266
249,-11.483106974852257
250,-11.525102785575204
251,-11.522678666004042
252,-11.510226388151588
253,-11.521945954727572
254,-11.531281043760972
255,-35.75583129446311
256,-11.542971533627204
257,-11.535687856501141
258,-27.702834120090994
259,-11.533451997212962
260,-34.48001850002898
261,-11.591330709017825
262,-11.359402031733199
263,-11.522267073596268
264,-11.52970139179612
265,-11.51384600416357
267,-13.780485070491167
268,-11.53616171651036
269,-8.023062664419491
270,-11.537164059562157
271,13.401939583114036
272,-11.529177397834715
273,-11.489679858036535
274,-11.539977681329948
275,-11.544102800875807
276,-0.032816332160548065
277,-11.503397260899305
278,-11.39140996938096
279,-10.824540410819585
280,-25.211946078655593
282,-11.535998123086735
283,-11.549686138378837
284,-11.525914457103061
285,-3.028543293303197
287,-23.441110823372842
288,-11.511127959014315
289,-11.527379678912709
290,-25.842457337919928
291,-29.972219956081727
292,-11.545106715446591
293,-11.523608145275736
295,141.49132719317913
296,-11.503160460379515
298,-11.469622164193007
299,-11.571506890684583
300,-11.482013726955365
301,-11.517369800520253
302,-11.53385274968608
303,-14.031332288853621
305,-11.512785581450016
306,-11.53299286303474
307,13.99429761882856
308,-5.324164344103335
309,-11.542436563904008
310,-11.520212965822868
311,-11.505364269692354
313,-11.52101343453611
314,-11.554202745025169
315,-11.29307348461375
316,-11.47314897847172
317,-11.553443609491557
318,-27.623795691186885
319,-11.54443245079458
320,34.613619434977394
321,-8.921651536827135
322,-11.535336914775632
323,138.49321319780591
324,-11.520614625958833
326,-11.575690569201507
327,-11.54394745357611
328,54.52018346254712
329,80.90890870707128
330,-11.53732210550416
331,-11.491267131080162
332,-11.529790722145568
333,-11.01191053458091
334,-11.5592645708673
335,-11.533134105197359
336,-31.870596221171496
337,-11.537468857221397
338,-11.555355187846652
339,-11.54280383562935
340,-11.529728897948235
341,83.73693962331998
342,-8.881658025692586
343,22.330022273684236
344,-11.533310621988255
345,-11.531386215118554
346,-11.50732204826342
347,-11.312788193834145
348,-11.536017788688117
349,-11.550168042871208
350,7.26797862695762
351,-11.527779395179975
352,-11.539081338880726
353,-11.54582417141704
354,-11.552160171694702
355,-11.547692092789548
356,-11.516510371309026
358,-11.534817968257167
359,-11.527998317813207
360,90.07336126534578
361,-32.514787655697
362,-11.559712720978549
363,-11.517896116562637
364,-11.504692465076612
365,-11.548668562214463
366,-11.526637864413823
367,111.34012261554133
368,-6.028302153513113
369,-11.518976905330018
370,-6.956827842646597
371,-11.541974547553359
372,-11.465393345294066
373,-11.512362426265092
375,-11.541550025801744
376,-25.733165664716918
377,-11.497764374923362
378,-11.515561249322726
379,-11.553972634425094
380,-11.514833584914562
381,-11.532334361319606
382,29.41707215175959
383,-11.538691147853
384,-11.54793294390412
385,-11.532047997109656
387,-19.211102103144515
388,-11.563980907094761
389,-11.527742436232367
390,-21.106252229911522
391,-11.559827164888477
392,-11.523041201632475
393,-11.538812346464663
394,29.587618281188778
395,-11.523828635227282
396,-11.493084791701758
397,-11.531070313921308
398,-11.448325771691952
399,-10.997692236927259
400,-11.522600991373077
402,-11.503726213097439
403,-17.415881921394934
404,-11.29509228402463
405,-11.380184980817448
406,-26.27625431580372
407,-11.530905873228877
408,-11.558071149612061
409,-11.529926117451927
411,70.48428760250397
412,-11.520448821218338
413,-27.168477050643578
414,-18.433328835575082
415,-36.20212453031387
416,-11.547003506839609
417,-11.511447322776949
418,-11.489685119518693
419,-34.94781314620872
420,-11.551393281524192
422,-11.461417105225836
424,-11.49782534866751
425,-11.559043831508104
426,-11.522908556548007
427,-11.552555844984001
428,-17.35414732331035
429,-11.538156613387823
431,-11.432099780137667
432,-11.535073100992369
433,-11.516318029961827
434,-11.54028553566019
435,-10.917189279005187
436,24.460191911509938
437,-11.534684568165266
438,0.4861855146733894
440,-11.539229129141138
441,-1.5702742497225681
442,-11.491896835472861
443,-11.53932320954653
444,44.71093894918062
445,-11.544552016088025
446,-11.557879037788085
448,-11.565178645970667
449,-48.50217537247352
450,-11.554986059045582
451,24.212896614701375
452,-11.393166375337444
453,570.4092520319136
454,-23.526113009827558
455,-13.933762197803281
456,-11.542796215485607
457,-11.493390840582224
458,-14.888413550597917
459,-11.361746650015728
460,-11.527689772396954
461,-11.50969049080208
462,-34.79316896990574
463,-11.545244846537624
464,-11.513721480607805
465,-32.09940860171952
466,-11.550167718110208
467,-11.54205988115062
468,-11.535511858454045
469,-11.495676800970456
470,-11.505891257399648
471,-11.547505508767218
472,-11.536389630320098
473,-11.473090000326248
474,37.73820572909172
475,-11.545147079285739
476,-11.52578263022062
477,-11.52435344733768
478,-11.522875127563827
479,-24.487061158701938
