,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19
demographics_ethnicity_white,0.036258883043381575,0.020592528877676493,0.012315273165142693,9.802300902970726e-05,0.03850296274428737,0.03553589266979296,0.02995879698336124,-0.035172677056238465,0.027982987645007652,0.010781375172595932,-0.026572498122353,0.05943230044586741,-0.10146483814648227,0.18369718719690367,0.21118875070459553,-0.08519087213568284,0.0013268575022485746,0.03842255219252216,-0.14231308863013373,0.02504396904763658
biometrics_bmi,-0.020084813333977176,-0.022561891708975344,-0.009195182724622839,0.0017778668748721993,0.018998189635102133,0.05232245697839822,-0.02060186175779064,0.008988560506550147,-0.008835751608974726,0.006979852780294252,0.0341042686519237,-0.09246117644373511,0.07048321521234714,-0.13408003499394597,-0.015312102852093829,-0.03567910874338064,-0.0966699010608353,0.11299764457584188,-0.11623446619706676,0.4176342894477922
biometrics_weight,-0.020819772036176826,-0.028820129350841696,-0.012104662176644802,0.0011518495196606486,0.009105098801662787,0.05746646781050466,6.227141060760349e-05,0.0011775705474346512,-0.027364198197047412,0.007988889710051964,0.07162914594071795,-0.10056839609695054,0.07402641717530757,-0.1556210292775724,0.04450307086005109,-0.074368347072184,-0.14120344337630425,0.10568914914569257,-0.15815838588815131,0.4756068181827241
biometrics_height,-0.004203672074218225,-0.012224890063600686,-0.00722545809597187,-0.0007759651594887754,-0.012182159153233636,0.016724307572178413,0.03183699535934014,-0.010813442431819118,-0.03565756560370531,0.0026547344818897305,0.07197640098969957,-0.029326644966298755,0.017835702440456118,-0.06655367039128197,0.11404317362385422,-0.08734666897621178,-0.11631051336390513,0.012730978455556577,-0.1128792444920783,0.20330548619586675
vitals_temperature_mean,0.09383301355661987,-0.11447455790610542,-0.19413882994669396,0.0005819338337972429,0.16928742040274447,-0.2592585471334713,0.07600926029738192,0.029493582692974224,-0.06476104361485059,-4.689288616017194e-05,0.019238474133328243,0.009108693080998098,0.006369483049278054,-0.04281393915663684,0.010277969164523879,-0.016505647444947622,-0.021408977401093657,-0.013619580359041625,-0.01878670315499422,-0.020054764350644426
vitals_temperature_median,0.09368165889230473,-0.1142686236789878,-0.19403847920326153,0.0005789082067192646,0.16913996038966525,-0.2593459071930712,0.07599592845984923,0.029591045046752657,-0.06437395660042554,-6.222670494611792e-05,0.019289716248676037,0.009198349592161117,0.006271658170351669,-0.042912149460891,0.01024096784453573,-0.016545174597076225,-0.02168746745468273,-0.013270448317466137,-0.019377808005350987,-0.020384924948236103
vitals_temperature_min,0.08289708261910685,-0.10699596208037682,-0.18892166939863309,-0.0015589896142381144,0.16590671321515257,-0.2596361407200361,0.07616289163958963,0.03503045328697055,-0.04320602286987694,0.00043760070338859293,0.03877730263000186,0.009326938310918843,0.005777614520172941,-0.04926810051305995,-0.0005820293696821,-0.013140442808884916,-0.037701020761922596,-0.0022524568451872413,-0.08606265191055688,-0.06643654336760324
vitals_temperature_max,0.09989088279823992,-0.11642677076552475,-0.1902695774237784,0.0025464507885230706,0.1648723842293771,-0.24704045132044208,0.07242499996544009,0.022898098344108032,-0.0822401862890511,-0.00047645655125551296,0.00013946604901597797,0.008403573128908154,0.00672153664834728,-0.034752186927592035,0.019945187928531814,-0.01884036704222674,-0.005009311307618999,-0.023899006934382083,0.04520935989369524,0.024315715012915046
vitals_temperature_std,0.05409573428172136,-0.04011886978696697,-0.03438055381609707,0.009656846980191662,0.025022463707774063,-0.012974841443053976,0.003643825559708734,-0.02300863105270592,-0.10016235663654491,-0.0021540779307392456,-0.08581740159287965,-0.000581737573788723,0.0032136842613707537,0.026515739049533544,0.04919213361533936,-0.015808566871505107,0.0719341231267445,-0.05204348119676129,0.2998432012359348,0.2062803276681253
vitals_temperature_first,0.08620533289892647,-0.10884568116348221,-0.19027669627827984,-0.0018432507486844838,0.16491231644580748,-0.2563806183342215,0.07550158251391842,0.030531328054379588,-0.04768952677716779,0.0007586308320706184,0.03082964244703202,0.008725303193625923,0.004721443059125311,-0.04603992838718947,0.0010900476573749652,-0.012555797622574276,-0.042234850362494865,0.001246347711419543,-0.106775914491268,-0.08367235317251087
